Timestamp;PIDout;MotorSpeed;DrivePower
33359090;2.010000E+002;4.149000E+003;6.608784E+000
33360089;2.260000E+002;4.149000E+003;6.608784E+000
33361090;2.010000E+002;4.174000E+003;6.608784E+000
33362086;2.010000E+002;4.174000E+003;6.608784E+000
33363087;1.900000E+002;4.185000E+003;6.608784E+000
33364091;1.990000E+002;4.176000E+003;6.608784E+000
33365085;2.030000E+002;4.172000E+003;6.608784E+000
33366100;2.010000E+002;4.174000E+003;6.608784E+000
33367088;1.920000E+002;4.183000E+003;6.560190E+000
33368088;1.860000E+002;4.185000E+003;6.560190E+000
33369091;1.860000E+002;4.185000E+003;6.560190E+000
33370086;1.990000E+002;4.176000E+003;6.560190E+000
33371090;2.200000E+002;4.155000E+003;6.560190E+000
33372090;1.900000E+002;4.185000E+003;6.560190E+000
33373086;2.050000E+002;4.170000E+003;6.560190E+000
33374086;2.130000E+002;4.162000E+003;6.560190E+000
33375089;1.940000E+002;4.181000E+003;6.560190E+000
33376090;2.280000E+002;4.147000E+003;6.560190E+000
33377104;2.110000E+002;4.164000E+003;6.560190E+000
33378089;2.110000E+002;4.162000E+003;6.560190E+000
33379090;2.130000E+002;4.162000E+003;6.560190E+000
33380088;2.030000E+002;4.172000E+003;6.560190E+000
33381089;1.920000E+002;4.183000E+003;6.560190E+000
33382084;2.260000E+002;4.149000E+003;6.560190E+000
33383085;1.900000E+002;4.185000E+003;6.560190E+000
33384088;2.130000E+002;4.174000E+003;6.560190E+000
33385089;2.250000E+002;4.162000E+003;6.560190E+000
33386084;1.860000E+002;4.201000E+003;6.560190E+000
33387085;1.860000E+002;4.201000E+003;6.560190E+000
33388200;2.130000E+002;4.170000E+003;6.560190E+000
33389087;2.170000E+002;4.170000E+003;6.560190E+000
33390090;2.250000E+002;4.162000E+003;6.560190E+000
33391086;2.130000E+002;4.174000E+003;6.560190E+000
33392086;2.060000E+002;4.181000E+003;6.560190E+000
33393090;2.110000E+002;4.176000E+003;6.560190E+000
33394090;2.150000E+002;4.172000E+003;6.560190E+000
33395086;2.190000E+002;4.168000E+003;6.560190E+000
